   ,Water depth,Env. condition,Mooring config,Direction,Misalignment,"Max A1, single"  ,"Max A2, single"  ,"Max A3, single"  ,Max shared mooring,Dir shared mooring,Max shared mooring 2 anchors,"Max A1,T1 shared","Max A2,T2 shared","Max A3,T3 shared",Sequence runs T2,Sequence runs T3
95 ,145        ,DLC1.6        ,taut          ,30       ,8           ,5433079.052877031 ,10651676.7689128  ,8580539.266203873 ,3905244.588288914 ,152.74527923797194,9622750.778261157           ,5498399.867911208 ,10002612.634879887,7937551.1838773   ,412365          ,532641
96 ,145        ,DLC1.6        ,taut          ,60       ,-8          ,6701957.519273849 ,10723597.529682204,7268946.006220568 ,3848018.35434636  ,105.98458335363308,9721617.475174125           ,6988232.525823554 ,10183650.811890889,5912138.80810134  ,642513          ,416523
97 ,145        ,DLC1.6        ,taut          ,60       ,0           ,6521383.473553358 ,10712165.64735348 ,7449347.129429717 ,4130002.10101853  ,102.64096479459809,9726064.822816398           ,7099258.779869509 ,10329732.181053719,5676412.440517106 ,362145          ,254361
98 ,145        ,DLC1.6        ,taut          ,60       ,8           ,6349594.47347542  ,10683079.945692193,7645197.887521165 ,4012266.884835229 ,131.87372756807298,9554116.663633805           ,6177530.241697193 ,10580577.539857112,7130788.5252517145,316542          ,346125
99 ,145        ,SLC           ,taut          ,0        ,-8          ,9712391.57385902  ,6925829.830334942 ,7457161.599085411 ,2671563.397701839 ,195.9064089028997 ,9278688.187479606           ,5946064.75068952  ,8092607.492706213 ,8938064.002472462 ,645321          ,346215
100,145        ,SLC           ,taut          ,0        ,0           ,9709154.546209095 ,7171093.902806989 ,7189433.484236444 ,2672415.9879888985,171.6051866310637 ,9036854.456517907           ,5688831.148783137 ,8557869.943068717 ,8107357.411004586 ,635124          ,316542
101,145        ,SLC           ,taut          ,0        ,8           ,9726704.038074832 ,7466272.058196551 ,6898612.271187861 ,2605347.5098194103,148.98754589965318,9283526.462745808           ,6212703.855252593 ,9220630.35065762  ,7670631.295125501 ,634521          ,564231
102,145        ,SLC           ,taut          ,30       ,-8          ,6087566.275084674 ,9672824.782988548 ,7943239.583580223 ,2234337.688283699 ,159.7307596476471 ,9117361.871196682           ,6648554.97867632  ,9191427.251315767 ,8297635.602664091 ,246135          ,352614
103,145        ,SLC           ,taut          ,30       ,0           ,6259539.359068858 ,9775706.23949484  ,7627844.5368051315,2311432.7248623525,132.96105405969752,9069319.29040039            ,7139955.50253206  ,9691813.940451367 ,7738584.842428072 ,451263          ,254631
104,145        ,SLC           ,taut          ,30       ,8           ,6827835.065189032 ,9835927.850385372 ,7435955.04552604  ,2257598.3181834402,115.84708141581376,9417505.963927934           ,7201315.324359785 ,9358593.63355348  ,7012530.757868659 ,546123          ,364125
105,145        ,SLC           ,taut          ,60       ,-8          ,6686548.1799084805,7888768.403831188 ,9515010.712425778 ,2219971.3776779375,148.79301266043169,9075141.380155206           ,6377469.037003468 ,8940302.419629516 ,7612123.485187901 ,654213          ,652134
106,145        ,SLC           ,taut          ,60       ,0           ,9568148.100520652 ,7423257.352773183 ,6814097.034740058 ,2536829.6275627054,58.57886092705452 ,9177100.801758002           ,8832568.01153265  ,8759918.93713399  ,6260194.1563444715,462531          ,365241
107,145        ,SLC           ,taut          ,60       ,8           ,9852182.642794373 ,7427335.375659821 ,6478959.960748978 ,2492205.830141204 ,37.3567102792931  ,9235724.483372657           ,9114030.142058792 ,8006116.73248839  ,6259967.829380688 ,514362          ,456312
