,Jun
380,8.740900760639121
381,7.916541873095092
382,6.553039430937031
383,6.374147557171756
384,6.328979807344114
385,6.314605366592784
386,7.23744534071153
387,6.93673376588438
388,6.050050098296073
389,6.1742975926714845
390,6.030452009087864
391,5.650241073296019
392,4.910522106385319
393,3.3360639328033015
394,1.2755479552334805
395,3.1981904005974746
396,5.782170707749254
397,6.495763857345449
398,7.489515175169367
399,8.603390529320675
400,9.104656942944171
401,8.905628445548395
402,9.809326128107058
403,10.400396096464393
404,10.527199058960319
405,10.124961438810043
406,10.45398478202448
407,9.749571702929321
408,9.574090024979762
409,8.930198023251503
410,8.681352620789305
411,9.14104052765875
412,9.718618812020841
413,9.847168935709815
414,9.446014189936925
415,8.80027443716161
416,7.905622367350984
417,6.9112434788663535
418,5.799064469490517
419,5.576696594610838
420,5.485630927058598
421,5.5680248945880555
422,5.650016171051758
423,4.951833378980862
424,4.059087730477351
425,2.3076090931932742
426,0.4173171428102476
427,1.8711523743213754
428,1.6474221758782588
429,0.6369667455847492
430,1.4916342307518657
431,2.7652200255076544
432,3.854276194036909
433,4.335711655926348
434,4.670477795198782
435,4.677115946878895
436,4.921295986243021
437,5.614937831312157
438,6.278204435750247
439,6.889958163429889
440,7.492455158952351
441,7.665169532305432
442,7.58239594550092
443,7.340477133054078
444,6.9908048594721395
445,7.1799267369862045
446,7.291355200504437
447,7.799552470901501
448,6.866017375504829
449,5.810011179397215
450,6.3803021531069755
451,6.3437057508654675
452,5.220023204275787
453,4.09976922798551
454,5.420676189958459
455,5.8150714054487205
456,7.011632889580787
457,7.205995618959678
458,7.763437881797005
459,7.97938903933583
460,7.652182419525237
461,8.131831436255863
462,8.647654187484829
463,9.078405195301958
464,9.18191486376243
465,8.739071312955431
466,8.174637920408594
467,8.722867719073086
468,9.472403816641513
469,9.799960389097945
470,9.881461851007826
471,9.660710478417508
472,9.234274242887208
473,9.026852183987188
474,9.395258745441478
475,9.371090819312153
476,9.571225616279454
477,9.59780394565719
478,10.583082048433559
479,11.490957700796441
480,11.712924934560677
481,12.07793892122437
482,11.670438529510593
483,11.22763814636302
484,10.82451125949969
485,10.405571577574909
486,10.062612226985282
487,9.555940874495144
488,9.308368106137891
489,9.035990963516804
490,10.112680983736526
491,11.66703351870905
492,11.410841388308224
493,10.622913612673292
494,10.199722609146603
495,10.824978745156551
496,11.59108775968556
497,11.644221122460046
498,11.819432809958997
499,11.952455704923004
500,11.935714982788102
501,11.525360296016585
502,10.499607223454051
503,9.598686830414056
504,8.954448514327222
505,8.950770057164197
506,9.220513961985622
507,9.386817856678578
508,9.921410761588763
509,9.956009017722874
510,9.96326204427825
511,10.129230907096472
512,9.882192521222985
513,9.500100663234557
514,9.632148390439827
515,9.467825754750388
516,8.925884866770948
517,8.091997017108632
518,6.559144637817954
519,5.123449638025028
520,4.1087316133755705
521,4.1713519262100425
522,4.453496530014031
523,4.576562929263189
524,4.189998098871026
525,3.712157142814404
526,3.748512163657927
527,3.0530641487750136
528,2.2025257190802217
529,1.9039173510565925
530,1.2305597410353628
531,0.23380084989306005
532,0.6846869546968054
533,0.48164564339482824
534,1.1854649941787703
535,1.7537367129624544
536,2.3001896955614582
537,2.8963866544442944
538,2.2721553721179446
539,2.241228329192624
540,1.9458027225052885
541,1.5975363607800426
542,1.7517990080805252
543,1.9708040081855684
544,2.437472497768932
545,3.074969811183551
546,3.0979051055332967
547,2.852825972159065
548,2.443520268352875
549,1.5229996526911276
550,0.758749576530717
551,1.221803005129517
552,1.1539564074742434
553,1.4277984954628626
554,1.320269889317844
555,1.5505986071230127
556,2.4007429431305036
557,3.0932245293136447
558,2.6252970360356147
559,2.717941672094651
560,3.2916489973683096
561,4.26071461082419
562,4.313594802955143
563,4.423749135261416
564,4.245595572636802
565,4.262200755144649
566,3.9970277086184107
567,3.81489423448584
568,3.8086525044888675
569,4.333843736426838
570,4.535590651046608
571,3.931883991928254
572,3.459692000188618
573,2.823091101242942
574,1.473223101491626
575,0.3179036173071159
576,0.5403857656359672
577,1.2674923183517526
578,1.547207428912239
579,1.8467365887723424
580,2.375564861205602
581,3.2162919788668427
582,4.747940690825425
583,5.793074886674435
584,5.510364418779873
585,5.702605421273806
586,5.269915504446623
587,5.967840728967856
588,5.672133488108302
589,4.712023005851262
590,3.8145368231283543
591,3.4767838966623392
592,3.9381685873882635
593,4.708814963370756
594,5.461568682569967
595,5.793351594499471
596,5.840618597168557
597,5.173442195280468
598,4.6493305790302255
599,5.152637754453469
600,5.30063876592507
601,5.767590533238995
602,5.069936850237909
603,4.38695042218041
604,4.7713156805778985
605,5.209968407020658
606,5.629284842293774
607,5.684033121541023
608,5.7896787409070996
609,6.235864281816227
610,5.1858706868280695
611,5.477048601888812
612,5.9664456824702885
613,6.395165691372788
614,6.92066210360159
615,7.307815363697848
616,7.45478424464615
617,6.464978410896942
618,5.697364224160691
619,5.632723247186237
620,5.32749791870214
621,5.241676495154876
622,4.338489337658419
623,5.5890680393310355
624,6.016197143910065
625,5.430050251764067
626,4.555712082618304
627,4.131078662308603
628,3.901500372873158
629,4.062173433296455
630,4.439409585894883
631,4.246900596924509
632,4.163698122711056
633,4.7449503824817585
634,4.131101079662796
635,5.147113716907707
636,5.599522639914501
637,4.570509714341606
638,2.796746609711232
639,1.1874093519758855
640,1.173833197459549
641,1.434680101596807
642,1.5780479038214585
643,1.9115624094883799
644,2.561741167791366
645,3.3726371783059714
646,4.1602621200271654
647,4.468555487889394
648,4.519900235540172
649,4.098192924114791
650,3.0737983215850506
651,3.7237669110291045
652,5.702702412867032
653,7.54092667198323
654,8.706315587453478
655,9.174804978049368
656,9.674998168002318
657,10.309826408726048
658,10.118655912749569
659,10.489390626152751
660,10.478182972270508
661,9.689071481556786
662,8.340530929912811
663,8.955742647182694
664,9.780034855597494
665,9.12689445734496
666,7.9040929431487195
667,6.598999301304538
668,5.327882335397363
669,4.285549758748258
670,3.5727343542167724
671,3.2909048178280456
672,3.3692935676858724
673,3.433431370848214
674,3.8182700248683283
675,3.7827419773628397
676,3.2262113115862316
677,2.4606217695889456
678,2.3922207936539372
679,3.0797241780277855
680,3.750870410637478
681,4.112656021243276
682,2.410665127566665
683,1.158907036199474
684,1.2372228646694603
685,2.114200373058785
686,2.1238022444081177
687,1.998776733677917
688,1.6018640388947962
689,1.349999377947402
690,1.8862297454796164
691,2.173440445610524
692,2.129616212983389
693,2.10553540652169
694,2.1266237654375044
695,1.7902590220221046
696,0.766973520453439
697,0.5660231538709999
698,1.1287068216840472
699,1.4570720630080913
700,1.9571226286662993
701,3.2212634034549112
702,4.159309863482693
703,4.3768611033234475
704,4.455134051258624
705,4.480064836661831
706,4.704319399212335
707,4.6312632775604605
708,5.302650835267691
709,5.527998350084071
710,5.991015352448188
711,5.714828228344433
712,5.094499588699034
713,3.8341054962178225
714,2.6894488822518743
715,3.051944738711419
716,3.837662675034449
717,3.9321720918260974
718,3.9620138121372075
719,3.350709059397641
720,1.7261690513448402
721,3.4760581428823207
722,4.695316581669559
723,5.673624689186819
724,6.05277708972314
725,6.091477683274909
726,6.384562704236954
727,6.940485134340514
728,7.429891299789429
729,7.453310890074467
730,7.401464163028793
731,7.678687285308079
732,8.063519980029332
733,7.996028292140105
734,7.881807353363631
735,7.817816436433356
736,7.907433923932774
737,8.145562562390465
738,8.19943264628634
739,7.844695385533654
740,8.162728504093993
741,8.249374900151135
742,7.281341659836513
743,6.38939498567929
744,6.264980809811416
745,6.420102396182449
746,7.108824614483891
747,7.432846588960501
